TEST DE PARAMÈTRE 
p = 50
t = 5

 
Listes des gaps moyens de chaque valeur: 

V_105_0.9 : 0.0787
V_170_0.9 : 0.0789
V_145_0.7 : 0.079
H_50_0.8 : 0.079
V_85_0.7 : 0.0792
H_30_0.9 : 0.0793
V_155_0.9 : 0.0797
V_165_0.8 : 0.08
H_110_0.9 : 0.08
H_35_0.8 : 0.0801
H_75_0.9 : 0.0802
H_90_0.9 : 0.0802
V_110_0.8 : 0.0802
H_55_0.8 : 0.0805
V_40_0.8 : 0.0807
V_45_0.8 : 0.0807
V_60_0.7 : 0.0816
V_180_0.9 : 0.0816
V_90_0.7 : 0.0817TEST DE PARAMÈTRE 
p = 50
t = 5

 
Listes des gaps moyens de chaque valeur: 

V_250_0.3 : -0.0
V_250_0.5 : -0.0
V_220_0.2 : -0.0
V_210_0.2 : -0.0
V_250_0.4 : -0.0
V_240_0.2 : -0.0
V_250_0.7 : -0.0
V_245_0.2 : -0.0
V_235_0.2 : -0.0
V_250_0.9 : -0.0
V_250_0.2 : -0.0
V_230_0.2 : -0.0
V_250_0.6 : -0.0
V_215_0.2 : -0.0
